time,values1_1,values1_2,values1_3,values1_4,values1_5,values1_6,values1_7,values1_8
0,110,200,0,0,0,0,0,0
0.0001,110,200,0.011,0.02,0.0110707920941379,0.0652891933668282,0.00150246040100161,4.43558233615564e-11
0.0002,110,200,0.0219891711538964,0.0399328732058946,0.0221313387405678,0.137597997871429,0.00648089831772614,7.75960406527623e-10
0.0003,110,200,0.0329675234832283,0.059791402435678,0.0331843165444518,0.21682347929852,0.0156307141426491,4.17139886711157e-09
0.0004,110,200,0.0439350643914255,0.0795684763387004,0.0442341244253065,0.302854030223372,0.0296308293580821,1.38681198537206e-08
0.0005,110,200,0.054891796979134,0.0992570983129899,0.0552868313877148,0.39556969018635,0.0491418043548998,3.54359907874348e-08
0.0006,110,200,0.0658377184106302,0.118850395093389,0.0663501199937285,0.494842491521166,0.0748040541604174,7.66415147529414e-08
0.0007,110,200,0.0767728183355264,0.138341624984125,0.0774332243112713,0.600536815996588,0.107236165955389,1.4770399507806e-07
0.0008,110,200,0.0876970773711723,0.157724185724712,0.0885468647304814,0.712509777739813,0.14703332799675,2.61542974705115e-07
0.0009,110,200,0.0986104656488157,0.176991621962135,0.0997031784507408,0.830611617777336,0.194765872637189,4.3401632159089e-07
0.001,110,200,0.109512941427757,0.196137632317405,0.110915646613541,0.954686113341,0.250977938919115,6.84148377217059e-07
0.0011,110,200,0.120404449780777,0.215156076031276,0.122199018344987,1.08457099916498,0.316186258307797,1.03434763300983e-06
0.0012,110,200,0.131284921353866,0.234040979176815,0.133569232081669,1.22009839881374,0.39087906649665,1.51061344870572e-06
0.0013,110,200,0.142154271202902,0.252786540428502,0.145043334558506,1.36109526407617,0.47551514342983,2.14273137710243e-06
0.0014,110,200,0.153012397709576,0.271387136379564,0.156639397840008,1.50738382046939,0.570522982904966,2.96445671089678e-06
0.0015,110,200,0.163859181578467,0.289837326401273,0.168376434777119,1.65878201691661,0.676300092348124,4.01368591912241e-06
0.0016,110,200,0.174694484916821,0.30813185703991,0.180274313270444,1.8151039776961,0.793212422599952,5.33261569275087e-06
0.0017,110,200,0.185518150398185,0.326265665949049,0.19235366971737,1.97616045480274,0.921593926821897,6.96788937100869e-06
0.0018,110,200,0.196330000510704,0.344233885356763,0.204635822015245,2.14175927891817,1.06174624692965,8.97073057159953e-06
0.0019,110,200,0.207129836890518,0.362031845069154,0.217142682485604,2.31170580725003,1.21393852529228,1.13970638990221e-05
0.002,110,200,0.217917439740326,0.379655075013448,0.229896671075426,2.48580336657428,1.37840733880407,1.43076226552756e-05
0.0021,110,200,0.228692567332856,0.397099307325571,0.242920629180698,2.66385368989559,1.55535675184577,1.77680435261898e-05
0.0022,110,200,0.239454955598626,0.41436047798878,0.256237734425221,2.84565734522938,1.74495848410613,2.18489482641752e-05
0.0023,110,200,0.250204317797063,0.431434728031441,0.269871416713795,3.03101415510292,1.94735218873517,2.66260124341332e-05
0.0024,110,200,0.260940344269739,0.4483184042935,0.283845275863734,3.21972360547237,2.16264583585145,3.21800213334083e-05
0.0025,110,200,0.271662702274168,0.465008059772524,0.298183001102223,3.41158524285581,2.39091619602596,3.85969132388116e-05
0.0026,110,200,0.282371035896352,0.48150045356144,0.312908292699521,3.60639905858855,2.63220941801857,4.59678101737505e-05
0.0027,110,200,0.293064966039979,0.497792550391194,0.32804478598955,3.8039658592152,2.88654169474793,5.43890364262104e-05
0.0028,110,200,0.30374409048994,0.513881519792596,0.343615978010086,4.00408762214281,3.15390001123331,6.39621250836466e-05
0.0029,110,200,0.314407984047603,0.529764734892508,0.359645156974865,4.20656783578858,3.43424296805656,7.47938128836501e-05
0.003,110,-200,0.325056198735073,0.545439770860301,0.369789118132438,3.94308794883117,3.31746203857855,8.69748760374903e-05
0.0031,110,-200,0.335694491152002,0.521385702503331,0.379240644354275,3.65480799317881,3.16376636535828,0.000100483385479624
0.0032,110,-200,0.346323538600547,0.497628027902047,0.388510134426423,3.38005227145741,3.00688007344275,0.000115258014234566
0.0033,110,-200,0.356943519138558,0.474152842175418,0.397613247847805,3.1183012470827,2.84750609494694,0.000131236031408162
0.0034,110,-200,0.367554595506618,0.45094677460164,0.406566955156648,2.86906693575228,2.68631749875787,0.000148353704981205
0.0035,110,-200,0.378156913845652,0.427996956177805,0.415389517480642,2.63189090649563,2.52396074265273,0.000166546571412946
0.0036,110,-200,0.388750602434544,0.405290989234769,0.424100472395377,2.40634244025835,2.36105869790583,0.000185749694558436
0.0037,110,-200,0.399335770441585,0.382816918945269,0.432720625609471,2.19201683268369,2.19821347090792,0.000205897915112208
0.0038,110,-200,0.409912506684056,0.360563206577031,0.441272048044451,1.98853382905935,2.03600904393958,0.000226926091709337
0.0039,110,-200,0.420480878390663,0.338518704354973,0.449778077921204,1.79553618056707,1.87501375513777,0.000248769334742337
0.004,110,-200,0.431040929961935,0.316672631807798,0.458263327503274,1.61268831202063,1.71578263583708,0.000271363233887801
0.0041,110,-200,0.441592681724025,0.295014553484347,0.466753694181013,1.43967509221974,1.55885962182628,0.000294644080279435
0.0042,110,-200,0.452136128671669,0.273534357934203,0.475276375610179,1.27620069889429,1.40477965361062,0.000318549084213492
0.0043,110,-200,0.462671239196336,0.252222237855302,0.483859888644241,1.12198757097674,1.25407067948942,0.000343016589228086
0.0044,110,-200,0.473197953795861,0.231068671318761,0.492534091821975,0.976775441629603,1.1072555741276,0.000367986283358798
0.0045,110,-200,0.483716183762085,0.210064403987886,0.501330211191127,0.84032044607753,0.964853984301691,0.000393399408339037
0.0046,110,-200,0.494225809843225,0.189200432254472,0.510280869265192,0.712394298858201,0.827384112621885,0.000419198967484389
0.0047,110,-200,0.504726680877935,0.168467987220994,0.519420116924183,0.59278353561812,0.695364449258124,0.000445329932975212
0.0048,110,-200,0.515218612398149,0.147858519462357,0.528783468081551,0.48128881504539,0.569315461019808,0.00047173945323084
0.0049,110,-200,0.525701385198026,0.127363684505349,0.538407936948625,0.377724276956132,0.44976124654489,0.000498377061051609
